QuestID,List,Division,Targetvalue,reward,rewardvalue,Next_Quest,StringId,Level
60058,몬스터 처치 15마리,2,15,220001,36600,60059,120002,58
60059,공격력 강화 80레벨 달성,5,80,220001,46250,60060,120005,59
60060,체력 강화 80레벨 달성,6,80,220001,63900,60061,120006,60
60061,방어력 강화 80레벨 달성,7,80,220001,30000,60062,120007,61
60062,몬스터 처치 30 마리,2,30,220001,30000,60063,120002,62
60063,스테이지  60 클리어,1,60,220005,10,60064,120001,63
60064,장비 뽑기 10회 실행,14,10,220002,150,60065,120545,64
60065,스킬 조합 8레벨 달성,3,8,220001,5125,60066,120003,65
60066,치명타 확률 20레벨 달성,8,20,220001,6125,60067,120008,66
60067,치명타 데미지 20레벨 달성,9,20,220001,6075,60068,120009,67
60068,체력 회복 20레벨 달성,10,20,220001,5575,60069,120010,68
60069,골드 획득 강화 20레벨 달성,11,20,220001,55000,60070,120011,69
60070,공격력 강화 90레벨 달성,5,90,220001,45700,60071,120005,70
60071,체력 강화 90레벨 달성,6,80,220001,80000,60072,120006,71
60072,방어력 강화 90레벨 달성,7,80,220001,35000,60073,120007,72
60073,몬스터 처치 30 마리,2,30,220001,35000,60074,120002,73
60074,스테이지 70 클리어,1,70,220003,1,60075,120001,74
60075,골드 던전 1회 플레이,12,1,220001,55700,60076,120543,75
60076,공격력 강화 100레벨 달성,5,100,220001,70125,60077,120005,76
60077,체력 강화 100레벨 달성,6,100,220001,106000,60078,120006,77
60078,방어력 강화 100레벨 달성,7,100,220001,9000,60079,120007,78
60079,치명타 확률 30레벨 달성,8,30,220001,10000,60080,120008,79
60080,치명타 데미지 30레벨 달성,9,30,220001,11500,60081,120009,80
60081,체력 회복 30레벨 달성,10,30,220001,5575,60082,120010,81
60082,골드 획득 강화 30 레벨 달성,11,30,220001,40000,60083,120011,82
60083,몬스터 처치 30 마리,2,30,220001,40000,60084,120002,83
60084,스테이지 80 클리어,1,80,220002,1500,60085,120001,84
60085,필드 최대 개수 강화 1회 실행,15,1,220004,1,60086,120546,85
60086,다이아 던전 1회 플레이,13,1,220001,66800,60087,120544,86
60087,공격력 강화 110레벨 달성,5,110,220001,84000,60088,120005,87
60088,체력 강화 110레벨 달성,6,110,220001,127215,60089,120006,88
60089,방어력 강화 110레벨 달성,7,110,220001,50000,60090,120007,89
60090,몬스터 처치 30 마리,2,30,220001,50000,60091,120002,90
60091,스테이지 90 클리어,1,90,220005,10,60092,120001,91
60092,장비 뽑기 10회 실행,14,10,220001,34375,60093,120545,92
60093,치명타 확률 50레벨 달성,8,50,220001,36375,60094,120008,93
60094,치명타 데미지 50레벨 달성,9,50,220001,45925,60095,120009,94
60095,체력 회복 50레벨 달성,10,50,220001,44925,60096,120010,95
60096,골드 획득 강화 50 레벨 달성,11,50,220001,50000,60097,120011,96
60097,몬스터 처치 30 마리,2,30,220001,50000,60098,120002,97
60098,스테이지 100 클리어,1,100,220002,150,60099,120001,98
60099,스킬 조합 9레벨 달성,3,9,220003,1,60100,120003,99
60100,골드 던전 1회 플레이,12,1,220001,39400,60101,120543,100
60101,공격력 강화 120레벨 달성,5,120,220001,99000,60102,120005,101
60102,체력 강화 120레벨 달성,6,120,220001,150315,60103,120006,102
60103,방어력 강화 120레벨 달성,7,120,220001,55000,60104,120007,103
60104,몬스터 처치 40 마리,2,40,220001,55000,60105,120002,104
60105,스테이지 110 클리어,1,110,220004,1,60106,120001,105
60106,다이아 던전 1회 플레이,13,1,220001,64625,60107,120544,106
60107,치명타 확률 70레벨 달성,8,70,220001,66625,60108,120008,107
60108,치명타 데미지 70레벨 달성,9,70,220001,88275,60109,120009,108
60109,체력 회복 70레벨 달성,10,70,220001,87275,60110,120010,109
60110,골드 획득 강화 70 레벨 달성,11,70,220001,60000,60111,120011,110
60111,몬스터 처치 40 마리,2,40,220002,300,60112,120002,111
60112,스테이지 120 클리어,1,120,220001,45950,60113,120001,112
60113,공격력 강화 130레벨 달성,5,130,220001,115375,60114,120005,113
60114,체력 강화 130레벨 달성,6,130,220001,175340,60115,120006,114
60115,방어력 강화 130레벨 달성,7,130,220001,60000,60116,120007,115
60116,몬스터 처치 40 마리,2,40,220002,300,60117,120002,116
60117,스테이지 130 클리어,1,130,220005,10,60118,120001,117
60118,장비 뽑기 10회 실행,14,10,220001,52950,60119,120545,118
60119,공격력 강화 140레벨 달성,5,140,220001,132875,60120,120005,119
60120,체력 강화 140레벨 달성,6,140,220001,202290,60121,120006,120
60121,방어력 강화 140레벨 달성,7,140,220001,65000,60122,120007,121
60122,몬스터 처치 40 마리,2,40,220002,300,60123,120002,122
60123,스테이지 140 클리어,1,140,220001,104875,60124,120001,123
60124,치명타 확률 90레벨 달성,8,90,220001,106875,60125,120008,124
60125,치명타 데미지 90레벨 달성,9,90,220001,144625,60126,120009,125
60126,체력 회복 90레벨 달성,10,90,220001,143625,60127,120010,126
60127,골드 획득 강화 90 레벨 달성,11,90,220001,70000,60128,120011,127
60128,몬스터 처치 40 마리,2,40,220001,70000,60129,120002,128
60129,스테이지 150 클리어,1,150,220002,300,60130,120001,129
60130,스킬 조합 10레벨 달성,3,10,220003,1,60131,120003,130
60131,골드 던전 1회 플레이,12,1,220001,60500,60132,120543,131
60132,공격력 강화 150레벨 달성,5,150,220001,73375,60133,120005,132
60133,체력 강화 145레벨 달성,6,145,220001,1090795,60134,120006,133
60134,방어력 강화 145레벨 달성,7,145,220001,80000,60135,120007,134
60135,몬스터 처치 40 마리,2,40,220002,500,60136,120002,135
60136,스테이지 160 클리어,1,160,220001,155125,60137,120001,136
60137,치명타 확률 110레벨 달성,8,110,220001,157125,60138,120008,137
60138,치명타 데미지 110레벨 달성,9,110,220001,214975,60139,120009,138
60139,체력 회복 110레벨 달성,10,110,220001,213975,60140,120010,139
60140,골드 획득 강화 110레벨 달성,11,110,220001,90000,60141,120011,140
60141,몬스터 처치 40 마리,2,40,220002,500,60142,120002,141
60142,스테이지 170 클리어,1,1,220004,1,60143,120001,142
60143,다이아 던전 1회 플레이,13,1,220001,145550,60144,120544,143
60144,공격력 강화 170레벨 달성,5,170,220001,78375,60145,120005,144
60145,체력 강화 150레벨 달성,6,150,220001,130290,60146,120006,145
60146,방어력 강화 150레벨 달성,7,150,220001,100000,60147,120007,146
60147,몬스터 처치 40 마리,2,40,220002,500,60148,120002,147
60148,스테이지 180 클리어,1,180,220001,215375,60149,120001,148
60149,치명타 확률 130레벨 달성,8,130,220001,217375,60150,120008,149
60150,치명타 데미지 130레벨 달성,9,130,220001,299325,60151,120009,150
60151,체력 회복 130레벨 달성,10,130,220001,298325,60152,120010,151
60152,골드 획득 강화 130레벨 달성,11,10,220001,150000,60153,120011,152
60153,몬스터 처치 40 마리,2,40,220002,500,60154,120002,153
60154,스테이지 190 클리어,1,190,220005,10,60155,120001,154
60155,장비 뽑기 10회 실행,14,10,220001,181650,60156,120545,155
60156,공격력 강화 190레벨 달성,5,190,220001,171750,60157,120005,156
60157,체력 강화 160레벨 달성,6,160,220001,261965,60158,120006,157
60158,방어력 강화 160레벨 달성,7,160,220001,200000,60159,120007,158
60159,몬스터 처치 40 마리,2,40,220001,200000,60160,120002,159
60160,스테이지 200 클리어,1,200,220002,10000,60161,120001,160
60161,몬스터 처치 20 마리,2,20,220001,221750,60162,120002,161
60162,공격력 강화 210레벨 달성,5,210,220001,211200,60163,120005,162
60163,체력 강화 170레벨 달성,6,170,220001,294690,60164,120006,163
60164,방어력 강화 170레벨 달성,7,170,220001,150000,60165,120007,164
60165,몬스터 처치 40 마리,2,40,220002,1000,60166,120002,165
60166,스테이지 210 클리어,1,210,220003,1,60167,120001,166
60167,골드 던전 1회 플레이,12,1,220001,265850,60168,120543,167
60168,공격력 강화 230레벨 달성,5,230,220001,235950,60169,120005,168
60169,체력 강화 180레벨 달성,6,180,220001,329340,60170,120006,169
60170,방어력 강화 180레벨 달성,7,180,220001,200000,60171,120007,170
60171,몬스터 처치 40 마리,2,40,220002,1000,60172,120002,171
60172,스테이지 220 클리어,1,220,220001,313950,60173,120001,172
60173,공격력 강화 250레벨 달성,5,250,220001,239500,60174,120005,173
60174,체력 강화 190레벨 달성,6,190,220001,365915,60175,120006,174
60175,방어력 강화 190레벨 달성,7,190,220001,200000,60176,120007,175
60176,몬스터 처치 40 마리,2,40,220002,1000,60177,120002,176
60177,스테이지 230 클리어,1,230,220004,1,60178,120001,177
60178,다이아 던전 1회 플레이,13,1,220001,366050,60179,120544,178
60179,공격력 강화 270레벨 달성,5,270,220001,264500,60180,120005,179
60180,체력 강화 200레벨 달성,6,220,220001,404415,60181,120006,180
60181,방어력 강화 200레벨 달성,7,220,220001,200000,60182,120007,181
60182,몬스터 처치 40 마리,2,40,220002,1000,60183,120002,182
60183,스테이지 240 클리어,1,240,220001,422150,60184,120001,183
60184,공격력 강화 290레벨 달성,5,290,220001,290875,60185,120005,184
60185,체력 강화 210레벨 달성,6,210,220001,444840,60186,120006,185
60186,방어력 강화 210레벨 달성,7,210,220001,250000,60187,120007,186
60187,몬스터 처치 40 마리,2,40,220002,1000,60188,120002,187
60188,스테이지 250 클리어,1,250,220002,1000,60189,120001,188
60189,몬스터 처치 20 마리,2,20,220005,10,60190,120002,189
60190,장비 뽑기 10회 실행,14,10,220001,482250,60191,120545,190
60191,공격력 강화 310레벨 달성,5,310,220001,318375,60192,120005,191
60192,체력 강화 220레벨 달성,6,220,220001,487190,60193,120006,192
60193,방어력 강화 220레벨 달성,7,220,220001,250000,60194,120007,193
60194,몬스터 처치 40 마리,2,40,220002,1000,60195,120002,194
60195,스테이지 260 클리어,1,260,220001,546350,60196,120001,195
60196,공격력 강화 330레벨 달성,5,330,220001,347250,60197,120005,196
60197,체력 강화 230레벨 달성,6,230,220001,531465,60198,120006,197
60198,방어력 강화 230레벨 달성,7,230,220001,250000,60199,120007,198
60199,몬스터 처치 40 마리,2,40,220002,1000,60200,120002,199
60200,스테이지 270 클리어,1,270,220003,1,60201,120001,200
60201,골드 던전 1회 플레이,12,1,220001,614450,60202,120543,201
60202,공격력 강화 350레벨 달성,5,350,220001,377250,60203,120005,202
60203,체력 강화 240레벨 달성,6,240,220001,577665,60204,120006,203
60204,방어력 강화 240레벨 달성,7,240,220001,300000,60205,120007,204
60205,몬스터 처치 40 마리,2,40,220002,1000,60206,120002,205
60206,스테이지 280 클리어,1,280,220001,686550,60207,120001,206
60207,공격력 강화 370레벨 달성,5,370,220001,408625,60208,120005,207
60208,체력 강화 250레벨 달성,6,250,220001,625790,60209,120006,208
60209,방어력 강화 250레벨 달성,7,250,220001,300000,60210,120007,209
60210,몬스터 처치 40 마리,2,40,220002,1000,60211,120002,210
60211,스테이지 290 클리어,1,290,220004,1,60212,120001,211
60212,다이아 던전 1회 플레이,13,1,220001,762650,60213,120544,212
60213,공격력 강화 390레벨 달성,5,390,220001,441125,60214,120005,213
60214,체력 강화 260레벨 달성,6,260,220001,675840,60215,120006,214
60215,방어력 강화 260레벨 달성,7,260,220001,350000,60216,120007,215
60216,몬스터 처치 40 마리,2,40,220002,1000,60217,120002,216
60217,스테이지 300 클리어,1,300,220002,1000,60218,120001,217
60218,몬스터 처치 25 마리,2,25,220001,842750,60219,120002,218
60219,공격력 강화 410레벨 달성,5,410,220001,475000,60220,120005,219
60220,체력 강화 270레벨 달성,6,270,220001,727815,60221,120006,220
60221,방어력 강화 270레벨 달성,7,270,220001,350000,60222,120007,221
60222,몬스터 처치 50 마리,2,50,220002,1500,60223,120002,222
60223,스테이지 320 클리어,1,320,220005,10,60224,120001,223
60224,장비 뽑기 10회 실행,14,10,220001,1423050,60225,120545,224
60225,공격력 강화 440레벨 달성,5,440,220001,510000,60226,120005,225
60226,체력 강화 280레벨 달성,6,280,220001,781715,60227,120006,226
60227,방어력 강화 280레벨 달성,7,280,220001,400000,60228,120007,227
60228,몬스터 처치 50 마리,2,50,220002,1500,60229,120002,228
60229,스테이지 340 클리어,1,340,220001,1625800,60230,120001,229
60230,공격력 강화 470레벨 달성,5,470,220001,546375,60231,120005,230
60231,체력 강화 290레벨 달성,6,290,220001,837540,60232,120006,231
60232,방어력 강화 290레벨 달성,7,290,220001,400000,60233,120007,232
60233,몬스터 처치 50 마리,2,50,220002,1500,60234,120002,233
60234,스테이지 360 클리어,1,360,220003,1,60235,120001,234
60235,골드 던전 1회 플레이,12,1,220001,1842000,60236,120543,235
60236,공격력 강화 500레벨 달성,5,500,220001,583875,60237,120005,236
60237,체력 강화 300레벨 달성,6,300,220001,895290,60238,120006,237
60238,방어력 강화 300레벨 달성,7,300,220001,450000,60239,120007,238
60239,몬스터 처치 50 마리,2,50,220002,1500,60240,120002,239
60240,스테이지 380 클리어,1,380,220001,2071750,60241,120001,240
60241,공격력 강화 530레벨 달성,5,530,220001,622750,60242,120005,241
60242,체력 강화 310레벨 달성,6,310,220001,954965,60243,120006,242
60243,방어력 강화 310레벨 달성,7,310,220001,450000,60244,120007,243
60244,몬스터 처치 50 마리,2,50,220002,1500,60245,120002,244
60245,스테이지 400 클리어,1,400,220002,1500,60246,120001,245
60246,몬스터 처치 25 마리,2,25,220004,1,60247,120002,246
60247,다이아 던전 1회 플레이,13,1,220001,2314950,60248,120544,247
60248,공격력 강화 560레벨 달성,5,560,220001,662750,60249,120005,248
60249,체력 강화 320레벨 달성,6,320,220001,1016565,60250,120006,249
60250,방어력 강화 320레벨 달성,7,320,220001,500000,60251,120007,250
60251,몬스터 처치 50 마리,2,50,220002,1500,60252,120002,251
60252,스테이지 420 클리어,1,420,220001,2571700,60253,120001,252
60253,공격력 강화 590레벨 달성,5,590,220001,704125,60254,120005,253
60254,체력 강화 330레벨 달성,6,330,220001,1080090,60255,120006,254
60255,방어력 강화 330레벨 달성,7,330,220001,500000,60256,120007,255
60256,몬스터 처치 50 마리,2,50,220002,1500,60257,120002,256
60257,스테이지 420 클리어,1,420,220005,10,60258,120001,257
60258,장비 뽑기 10회 실행,14,10,220001,2841900,60259,120545,258
60259,공격력 강화 620레벨 달성,5,620,220001,746625,60260,120005,259
60260,체력 강화 340레벨 달성,6,340,220001,1145540,60261,120006,260
60261,방어력 강화 340레벨 달성,7,340,220001,550000,60262,120007,261
60262,몬스터 처치 50 마리,2,50,220002,1500,60263,120002,262
60263,스테이지 440 클리어,1,440,220001,3125650,60264,120001,263
60264,공격력 강화 650레벨 달성,5,650,220001,790500,60265,120005,264
60265,체력 강화 350레벨 달성,6,350,220001,1212915,60266,120006,265
60266,방어력 강화 350레벨 달성,7,350,220001,550000,60267,120007,266
60267,몬스터 처치 50 마리,2,50,220002,1500,60268,120002,267
60268,스테이지 460 클리어,1,460,220003,1,60269,120001,268
60269,골드 던전 1회 플레이,12,1,220001,3422850,60270,120543,269
60270,공격력 강화 680레벨 달성,5,680,220001,835500,60271,120005,270
60271,체력 강화 360레벨 달성,6,360,220001,1282215,60272,120006,271
60272,방어력 강화 360레벨 달성,7,360,220001,600000,60273,120007,272
60273,몬스터 처치 50 마리,2,50,220002,1500,60274,120002,273
60274,스테이지 480 클리어,1,480,220001,3733600,60275,120001,274
60275,공격력 강화 710레벨 달성,5,710,220001,881875,60276,120005,275
60276,체력 강화 370레벨 달성,6,370,220001,1353440,60277,120006,276
60277,방어력 강화 370레벨 달성,7,370,220001,600000,60278,120007,277
60278,몬스터 처치 50 마리,2,50,220002,1500,60279,120002,278
60279,스테이지 500 클리어,1,500,220002,1500,60280,120001,279
60280,몬스터 처치 25 마리,2,25,220004,1,60281,120002,280
60281,다이아 던전 1회 플레이,13,1,220001,4057800,60282,120544,281
60282,공격력 강화 740레벨 달성,5,740,220002,1500,60283,120005,282
60283,몬스터 처치 50 마리,2,50,220001,700000,60284,120002,283
60284,스테이지 520 클리어,1,520,220001,4133600,60285,120001,284
60285,공격력 강화 770레벨 달성,5,770,220002,1500,60286,120005,285
60286,몬스터 처치 50 마리,2,50,220001,800000,60287,120002,286
60287,스테이지 540 클리어,1,540,220005,10,60288,120001,287
60288,장비 뽑기 10회 실행,14,10,220001,4533600,60289,120545,288
60289,공격력 강화 800레벨 달성,5,800,220002,1500,60290,120005,289
60290,몬스터 처치 50 마리,2,50,220001,900000,60291,120002,290
60291,스테이지 560 클리어,1,560,220001,4933600,60292,120001,291
60292,공격력 강화 830레벨 달성,5,830,220002,1500,60293,120005,292
60293,몬스터 처치 50 마리,2,50,220001,1000000,60294,120002,293
60294,스테이지 580 클리어,1,580,220003,1,60295,120001,294
60295,골드 던전 1회 플레이,12,1,220001,5333600,60296,120543,295
60296,공격력 강화 860레벨 달성,5,860,220002,1500,60297,120005,296
60297,몬스터 처치 50 마리,2,50,220001,1100000,60298,120002,297
60298,스테이지 600 클리어,1,600,220001,5733600,60299,120001,298
60299,공격력 강화 890레벨 달성,5,890,220002,1500,60300,120005,299
60300,몬스터 처치 50 마리,2,50,220001,1200000,60301,120002,300
60301,스테이지 630 클리어,1,630,220004,1,60302,120001,301
60302,다이아 던전 1회 플레이,13,1,220001,6133600,60303,120544,302
60303,공격력 강화 920레벨 달성,5,920,220002,1500,60304,120005,303
60304,몬스터 처치 50 마리,2,50,220001,1300000,60305,120002,304
60305,스테이지 660 클리어,1,660,220001,6573600,60306,120001,305
60306,공격력 강화 950레벨 달성,5,950,220002,1500,60307,120005,306
60307,몬스터 처치 50 마리,2,50,220001,1400000,60308,120002,307
60308,스테이지 690 클리어,1,690,220005,10,60309,120001,308
60309,장비 뽑기 10회 실행,14,10,220001,7013600,60310,120545,309
60310,공격력 강화 920레벨 달성,5,920,220002,1500,60311,120005,310
60311,몬스터 처치 50 마리,2,50,220001,1500000,60312,120002,311
60312,스테이지 720 클리어,1,720,220002,7453600,60313,120001,312
60313,몬스터 처치 25 마리,2,25,220001,6705400,60314,120002,313
60314,공격력 강화 950레벨 달성,5,950,220002,1500,60315,120005,314
60315,몬스터 처치 50 마리,2,50,220001,1600000,60316,120002,315
60316,스테이지 750 클리어,1,750,220003,1,60317,120001,316
60317,골드 던전 1회 플레이,12,1,220001,7893600,60318,120543,317
60318,공격력 강화 980레벨 달성,5,980,220002,1500,60319,120005,318
60319,몬스터 처치 50 마리,2,50,220001,1700000,60320,120002,319
60320,스테이지 780 클리어,1,780,220001,8333600,60321,120001,320
60321,공격력 강화 1010레벨 달성,5,1010,220002,1500,60322,120005,321
60322,몬스터 처치 50 마리,2,50,220001,1800000,60323,120002,322
60323,스테이지 810 클리어,1,810,220004,1,60324,120001,323
60324,다이아 던전 1회 플레이,13,1,220001,8773600,60325,120544,324
60325,공격력 강화 1040레벨 달성,5,1040,220002,1500,60326,120005,325
60326,몬스터 처치 50 마리,2,50,220001,1900000,60327,120002,326
60327,스테이지 840 클리어,1,840,220002,1500,60328,120001,327
60328,몬스터 처치 25 마리,2,25,220001,9253600,60329,120002,328
60329,공격력 강화 1070레벨 달성,5,1070,220002,1500,60330,120005,329
60330,몬스터 처치 50 마리,2,50,220001,2000000,60331,120002,330
60331,스테이지 870 클리어,1,870,220005,10,60332,120001,331
60332,장비 뽑기 10회 실행,14,10,220001,9733600,60333,120545,332
60333,공격력 강화 1100레벨 달성,5,1100,220002,2000,60334,120005,333
60334,몬스터 처치 50 마리,2,50,220001,2100000,60335,120002,334
60335,스테이지 900 클리어,1,900,220001,10213600,60336,120001,335
60336,공격력 강화 1130레벨 달성,5,1130,220002,2000,60337,120005,336
60337,몬스터 처치 50 마리,2,50,220001,2200000,60338,120002,337
60338,스테이지 930 클리어,1,930,220003,1,60339,120001,338
60339,골드 던전 1회 플레이,12,1,220001,10693600,60340,120543,339
60340,공격력 강화 1160레벨 달성,5,1160,220002,2000,60341,120005,340
60341,몬스터 처치 50 마리,2,50,220001,2300000,60342,120002,341
60342,스테이지 960 클리어,1,960,220001,11173600,60343,120001,342
60343,공격력 강화 1190레벨 달성,5,1190,220002,2000,60344,120005,343
60344,몬스터 처치 50 마리,2,50,220001,2400000,60345,120002,344
60345,스테이지 960 클리어,1,960,220004,1,60346,120001,345
60346,다이아 던전 1회 플레이,13,1,220001,11653600,60347,120544,346
60347,공격력 강화 1220레벨 달성,5,1220,220002,2000,60348,120005,347
60348,몬스터 처치 50 마리,2,50,220001,2500000,60349,120002,348
60349,스테이지 990 클리어,1,990,220001,11813600,60350,120001,349
60350,공격력 강화 1250레벨 달성,5,1250,220002,2000,60351,120005,350
60351,몬스터 처치 50 마리,2,50,220001,2600000,60352,120002,351
60352,스테이지 1030 클리어,1,1030,220005,10,60353,120001,352
60353,장비 뽑기 10회 실행,14,10,220001,11973600,60354,120545,353
60354,공격력 강화 1280레벨 달성,5,1280,220002,2000,60355,120005,354
60355,몬스터 처치 50 마리,2,50,220001,2700000,60356,120002,355
60356,스테이지 1070 클리어,1,1070,220002,2000,60357,120001,356
60357,몬스터 처치 25 마리,2,25,220001,12133600,60358,120002,357
60358,공격력 강화 1310레벨 달성,5,1310,220002,2000,60359,120005,358
60359,몬스터 처치 50 마리,2,50,220001,2800000,60360,120002,359
60360,스테이지 1110 클리어,1,1110,220003,1,60361,120001,360
60361,골드 던전 1회 플레이,12,1,220001,12293600,60362,120543,361
60362,공격력 강화 1340레벨 달성,5,1340,220002,2000,60363,120005,362
60363,몬스터 처치 50 마리,2,50,220001,2900000,60364,120002,363
60364,스테이지 1150 클리어,1,1150,220001,12453600,60365,120001,364
60365,공격력 강화 1370레벨 달성,5,1370,220002,2000,60366,120005,365
60366,몬스터 처치 50 마리,2,50,220001,3000000,60367,120002,366
60367,스테이지 1190 클리어,1,1190,220004,1,60368,120001,367
60368,다이아 던전 1회 플레이,13,1,220001,12613600,60369,120544,368
60369,공격력 강화 1400레벨 달성,5,1400,220002,2000,60370,120005,369
60370,몬스터 처치 50 마리,2,50,220001,3100000,60371,120002,370
60371,스테이지 1230 클리어,1,1230,220001,15241000,60372,120001,371
60372,공격력 강화 1430레벨 달성,5,1430,220002,2000,60373,120005,372
60373,몬스터 처치 50 마리,2,50,220001,3200000,60374,120002,373
60374,스테이지 1270 클리어,1,1270,220002,2000,60375,120001,374
60375,몬스터 처치 25 마리,2,25,220005,10,60376,120002,375
60376,장비 뽑기 10회 실행,14,10,220001,16641000,60377,120545,376
60377,공격력 강화 1460레벨 달성,5,1460,220002,2000,60378,120005,377
60378,몬스터 처치 50 마리,2,50,220001,3300000,60379,120002,378
60379,스테이지 1310 클리어,1,1310,220001,17341000,60380,120001,379
60380,공격력 강화 1490레벨 달성,5,1490,220002,2000,60381,120005,380
60381,몬스터 처치 50 마리,2,50,220001,3400000,60382,120002,381
60382,스테이지 1350 클리어,1,1350,220003,1,60383,120001,382
60383,골드 던전 1회 플레이,12,1,220001,18041000,60384,120543,383
60384,공격력 강화 1520레벨 달성,5,1520,220002,2000,60385,120005,384
60385,몬스터 처치 50 마리,2,50,220001,3500000,60386,120002,385
60386,스테이지 1390 클리어,1,1390,220001,18741000,60387,120001,386
60387,공격력 강화 1550레벨 달성,5,1550,220002,2000,60388,120005,387
60388,몬스터 처치 50 마리,2,50,220001,3600000,60389,120002,388
60389,스테이지 1430 클리어,1,1430,220004,1,60390,120001,389
60390,다이아 던전 1회 플레이,13,1,220001,19441000,60391,120544,390
60391,공격력 강화 1580레벨 달성,5,1580,220002,2000,60392,120005,391
60392,몬스터 처치 50 마리,2,50,220001,3700000,60393,120002,392
60393,스테이지 1470 클리어,1,1470,220002,2000,60394,120001,393
60394,몬스터 처치 25 마리,2,25,220001,20171000,60395,120002,394
60395,공격력 강화 1610레벨 달성,5,1610,220002,2000,60396,120005,395
60396,몬스터 처치 50 마리,2,50,220001,3800000,60397,120002,396
60397,스테이지 1510 클리어,1,1510,220005,10,60398,120001,397
60398,장비 뽑기 10회 실행,14,10,220001,20901000,60399,120545,398
60399,공격력 강화 1640레벨 달성,5,1640,220002,2000,60400,120005,399
60400,몬스터 처치 50 마리,2,50,220001,3900000,60401,120002,400
