Monsterid,Damage,Health,GoldValue,Reward,RewardValue,Asset1,Asset2
20093,40,970,4720,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20094,40,985,4770,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20095,40,1000,4820,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20096,40,1015,4870,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20097,40,1030,4920,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20098,40,1045,4970,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20099,40,1061,5020,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20100,40,4347,5070,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20101,107,4421,27584,-1,-1,Slime (Blue),Bat
20102,108,4497,27914,-1,-1,Slime (Blue),Bat
20103,109,4573,28244,-1,-1,Slime (Blue),Bat
20104,110,4649,28576,-1,-1,Slime (Blue),Bat
20105,111,4726,28908,-1,-1,Slime (Blue),Bat
20106,112,4804,29240,-1,-1,Slime (Blue),Bat
20107,113,4882,29573,-1,-1,Slime (Blue),Bat
20108,114,4961,29907,-1,-1,Slime (Blue),Bat
20109,115,5040,30241,-1,-1,Slime (Blue),Bat
20110,116,5120,30576,-1,-1,Slime (Blue),Bat
20111,117,5200,30912,-1,-1,Slime (Blue),Bat
20112,118,5281,31248,-1,-1,Slime (Blue),Bat
20113,119,5363,31585,-1,-1,Slime (Blue),Bat
20114,120,5445,31922,-1,-1,Slime (Blue),Bat
20115,121,5527,32260,-1,-1,Slime (Blue),Bat
20116,122,5611,32599,-1,-1,Slime (Blue),Bat
20117,123,5694,32938,-1,-1,Slime (Blue),Bat
20118,124,5779,33278,-1,-1,Slime (Blue),Bat
20119,126,5864,33618,-1,-1,Slime (Blue),Bat
20120,127,5949,33959,-1,-1,Slime (Blue),Bat
20121,128,6035,34301,-1,-1,Slime (Blue),Bat
20122,129,6121,34643,-1,-1,Slime (Blue),Bat
20123,130,6208,34985,-1,-1,Slime (Blue),Bat
20124,131,6296,35329,-1,-1,Slime (Blue),Bat
20125,132,6384,35672,-1,-1,Slime (Blue),Bat
20126,133,6473,36017,-1,-1,Fire Sprite,Bat
20127,134,6562,36362,-1,-1,Fire Sprite,Bat
20128,135,6652,36707,-1,-1,Fire Sprite,Bat
20129,136,6742,37053,-1,-1,Fire Sprite,Bat
20130,137,6833,37400,-1,-1,Fire Sprite,Bat
20131,138,6924,37747,-1,-1,Fire Sprite,Bat
20132,139,7016,38094,-1,-1,Fire Sprite,Bat
20133,140,7109,38442,-1,-1,Fire Sprite,Bat
20134,141,7202,38791,-1,-1,Fire Sprite,Bat
20135,142,7295,39140,-1,-1,Fire Sprite,Bat
20136,143,7389,39490,-1,-1,Fire Sprite,Bat
20137,144,7484,39840,-1,-1,Fire Sprite,Bat
20138,145,7579,40191,-1,-1,Fire Sprite,Bat
20139,147,7675,40542,-1,-1,Fire Sprite,Bat
20140,148,7771,40894,-1,-1,Fire Sprite,Bat
20141,149,7867,41246,-1,-1,Fire Sprite,Bat
20142,150,7965,41599,-1,-1,Fire Sprite,Bat
20143,151,8063,41952,-1,-1,Fire Sprite,Bat
20144,152,8161,42306,-1,-1,Fire Sprite,Bat
20145,153,8260,42660,-1,-1,Fire Sprite,Bat
20146,154,8359,43015,-1,-1,Fire Sprite,Bat
20147,155,8459,43370,-1,-1,Fire Sprite,Bat
20148,156,8559,43726,-1,-1,Fire Sprite,Bat
20149,157,8660,44082,-1,-1,Fire Sprite,Bat
20150,158,8762,44439,-1,-1,Fire Sprite,Bat
20151,159,8864,44796,-1,-1,Skeleton,Skeleton Warrior
20152,160,8966,45154,-1,-1,Skeleton,Skeleton Warrior
20153,161,9069,45512,-1,-1,Skeleton,Skeleton Warrior
20154,162,9173,45870,-1,-1,Skeleton,Skeleton Warrior
20155,163,9277,46229,-1,-1,Skeleton,Skeleton Warrior
20156,164,9382,46589,-1,-1,Skeleton,Skeleton Warrior
20157,165,9487,46949,-1,-1,Skeleton,Skeleton Warrior
20158,166,9593,47309,-1,-1,Skeleton,Skeleton Warrior
20159,168,9699,47670,-1,-1,Skeleton,Skeleton Warrior
20160,169,9806,48032,-1,-1,Skeleton,Skeleton Warrior
20161,170,9913,48393,-1,-1,Skeleton,Skeleton Warrior
20162,171,10021,48756,-1,-1,Skeleton,Skeleton Warrior
20163,172,10129,49118,-1,-1,Skeleton,Skeleton Warrior
20164,173,10238,49482,-1,-1,Skeleton,Skeleton Warrior
20165,174,10347,49845,-1,-1,Skeleton,Skeleton Warrior
20166,175,10457,50209,-1,-1,Skeleton,Skeleton Warrior
20167,176,10567,50574,-1,-1,Skeleton,Skeleton Warrior
20168,177,10678,50939,-1,-1,Skeleton,Skeleton Warrior
20169,178,10789,51304,-1,-1,Skeleton,Skeleton Warrior
20170,179,10901,51670,-1,-1,Skeleton,Skeleton Warrior
20171,180,11013,52036,-1,-1,Skeleton,Skeleton Warrior
20172,181,11126,52403,-1,-1,Skeleton,Skeleton Warrior
20173,182,11240,52770,-1,-1,Skeleton,Skeleton Warrior
20174,183,11354,53138,-1,-1,Skeleton,Skeleton Warrior
20175,184,11468,53505,-1,-1,Skeleton,Skeleton Warrior
20176,185,11583,53874,-1,-1,Skeleton,Skeleton Wizard
20177,186,11698,54243,-1,-1,Skeleton,Skeleton Wizard
20178,187,11814,54612,-1,-1,Skeleton,Skeleton Wizard
20179,189,11931,54982,-1,-1,Skeleton,Skeleton Wizard
20180,190,12048,55352,-1,-1,Skeleton,Skeleton Wizard
20181,191,12165,55722,-1,-1,Skeleton,Skeleton Wizard
20182,192,12283,56093,-1,-1,Skeleton,Skeleton Wizard
20183,193,12402,56464,-1,-1,Skeleton,Skeleton Wizard
20184,194,12521,56836,-1,-1,Skeleton,Skeleton Wizard
20185,195,12640,57208,-1,-1,Skeleton,Skeleton Wizard
20186,196,12760,57581,-1,-1,Skeleton,Skeleton Wizard
20187,197,12881,57954,-1,-1,Skeleton,Skeleton Wizard
20188,198,13002,58327,-1,-1,Skeleton,Skeleton Wizard
20189,199,13123,58701,-1,-1,Skeleton,Skeleton Wizard
20190,200,13245,59075,-1,-1,Skeleton,Skeleton Wizard
20191,201,13368,59449,-1,-1,Skeleton,Skeleton Wizard
20192,202,13491,59824,-1,-1,Skeleton,Skeleton Wizard
20193,203,13614,60199,-1,-1,Skeleton,Skeleton Wizard
20194,204,13738,60575,-1,-1,Skeleton,Skeleton Wizard
20195,205,13863,60951,-1,-1,Skeleton,Skeleton Wizard
20196,206,13988,61328,-1,-1,Skeleton,Skeleton Wizard
20197,207,14113,61704,-1,-1,Skeleton,Skeleton Wizard
20198,208,14239,62082,-1,-1,Skeleton,Skeleton Wizard
20199,210,14366,62459,-1,-1,Skeleton,Skeleton Wizard
20200,211,24679,157580,-1,-1,Skeleton,Skeleton Wizard
20201,212,24909,158609,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20202,213,25139,159640,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20203,214,25370,160673,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20204,215,25602,161707,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20205,216,25835,162742,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20206,217,26070,163779,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20207,218,26305,164818,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20208,219,26541,165858,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20209,220,26778,166900,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20210,221,27017,167943,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20211,222,27256,168988,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20212,223,27496,170034,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20213,224,27738,171081,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20214,225,27980,172130,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20215,226,28223,173181,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20216,227,28467,174233,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20217,228,28712,175286,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20218,229,28959,176341,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20219,231,29206,177398,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20220,232,29454,178456,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20221,233,29703,179515,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20222,234,29954,180576,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20223,235,30205,181638,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20224,236,30457,182702,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20225,237,30710,183767,-1,-1,Skeleton (RPC) Warrior,Ghast (Spoopy)
20226,238,30964,184833,-1,-1,Bat,Earth Sprite
20227,239,31220,185901,-1,-1,Bat,Earth Sprite
20228,240,31476,186971,-1,-1,Bat,Earth Sprite
20229,241,31733,188041,-1,-1,Bat,Earth Sprite
20230,242,31991,189114,-1,-1,Bat,Earth Sprite
20231,243,32250,190187,-1,-1,Bat,Earth Sprite
20232,244,32510,191262,-1,-1,Bat,Earth Sprite
20233,245,32771,192339,-1,-1,Bat,Earth Sprite
20234,246,33034,193416,-1,-1,Bat,Earth Sprite
20235,247,33297,194496,-1,-1,Bat,Earth Sprite
20236,248,33561,195576,-1,-1,Bat,Earth Sprite
20237,249,33826,196658,-1,-1,Bat,Earth Sprite
20238,250,34092,197741,-1,-1,Bat,Earth Sprite
20239,252,34359,198826,-1,-1,Bat,Earth Sprite
20240,253,34627,199912,-1,-1,Bat,Earth Sprite
20241,254,34896,201000,-1,-1,Bat,Earth Sprite
20242,255,35166,202088,-1,-1,Bat,Earth Sprite
20243,256,35437,203178,-1,-1,Bat,Earth Sprite
20244,257,35709,204270,-1,-1,Bat,Earth Sprite
20245,258,35982,205363,-1,-1,Bat,Earth Sprite
20246,259,36256,206457,-1,-1,Bat,Earth Sprite
20247,260,36531,207552,-1,-1,Bat,Earth Sprite
20248,261,36807,208649,-1,-1,Bat,Earth Sprite
20249,262,37084,209747,-1,-1,Bat,Earth Sprite
20250,263,37362,210847,-1,-1,Bat,Earth Sprite
20251,264,37641,211948,-1,-1,Ghast (Mad),Snake
20252,265,37920,213050,-1,-1,Ghast (Mad),Snake
20253,266,38201,214153,-1,-1,Ghast (Mad),Snake
20254,267,38483,215258,-1,-1,Ghast (Mad),Snake
20255,268,38766,216364,-1,-1,Ghast (Mad),Snake
20256,269,39050,217472,-1,-1,Ghast (Mad),Snake
20257,270,39334,218581,-1,-1,Ghast (Mad),Snake
20258,271,39620,219691,-1,-1,Ghast (Mad),Snake
20259,273,39907,220802,-1,-1,Ghast (Mad),Snake
20260,274,40195,221914,-1,-1,Ghast (Mad),Snake
20261,275,40483,223028,-1,-1,Ghast (Mad),Snake
20262,276,40773,224144,-1,-1,Ghast (Mad),Snake
20263,277,41064,225260,-1,-1,Ghast (Mad),Snake
20264,278,41355,226378,-1,-1,Ghast (Mad),Snake
20265,279,41648,227497,-1,-1,Ghast (Mad),Snake
20266,280,41941,228617,-1,-1,Ghast (Mad),Snake
20267,281,42236,229739,-1,-1,Ghast (Mad),Snake
20268,282,42531,230861,-1,-1,Ghast (Mad),Snake
20269,283,42828,231986,-1,-1,Ghast (Mad),Snake
20270,284,43125,233111,-1,-1,Ghast (Mad),Snake
20271,285,43424,234238,-1,-1,Ghast (Mad),Snake
20272,286,43723,235365,-1,-1,Ghast (Mad),Snake
20273,287,44024,236494,-1,-1,Ghast (Mad),Snake
20274,288,44325,237625,-1,-1,Ghast (Mad),Snake
20275,289,44627,238756,-1,-1,Ghast (Mad),Snake
20276,290,44931,239889,-1,-1,Slime (Yellow),Slime (Grey)
20277,291,45235,241023,-1,-1,Slime (Yellow),Slime (Grey)
20278,292,45540,242159,-1,-1,Slime (Yellow),Slime (Grey)
20279,294,45846,243295,-1,-1,Slime (Yellow),Slime (Grey)
20280,295,46154,244433,-1,-1,Slime (Yellow),Slime (Grey)
20281,296,46462,245572,-1,-1,Slime (Yellow),Slime (Grey)
20282,297,46771,246712,-1,-1,Slime (Yellow),Slime (Grey)
20283,298,47081,247854,-1,-1,Slime (Yellow),Slime (Grey)
20284,299,47392,248996,-1,-1,Slime (Yellow),Slime (Grey)
20285,300,47704,250140,-1,-1,Slime (Yellow),Slime (Grey)
20286,301,48017,251285,-1,-1,Slime (Yellow),Slime (Grey)
20287,302,48331,252431,-1,-1,Slime (Yellow),Slime (Grey)
20288,303,48646,253579,-1,-1,Slime (Yellow),Slime (Grey)
20289,304,48962,254728,-1,-1,Slime (Yellow),Slime (Grey)
20290,305,49279,255877,-1,-1,Slime (Yellow),Slime (Grey)
20291,306,49597,257028,-1,-1,Slime (Yellow),Slime (Grey)
20292,307,49916,258181,-1,-1,Slime (Yellow),Slime (Grey)
20293,308,50236,259334,-1,-1,Slime (Yellow),Slime (Grey)
20294,309,50556,260489,-1,-1,Slime (Yellow),Slime (Grey)
20295,310,50878,261645,-1,-1,Slime (Yellow),Slime (Grey)
20296,311,51201,262802,-1,-1,Slime (Yellow),Slime (Grey)
20297,312,51524,263960,-1,-1,Slime (Yellow),Slime (Grey)
20298,313,51849,265119,-1,-1,Slime (Yellow),Slime (Grey)
20299,315,52175,266280,-1,-1,Slime (Yellow),Slime (Grey)
20300,315,52501,267441,-1,-1,Slime (Yellow),Slime (Grey)
20301,332,52829,268604,-1,-1,Goblin Thug (Green),Snake
20302,333,53157,269768,-1,-1,Goblin Thug (Green),Snake
20303,334,53487,270933,-1,-1,Goblin Thug (Green),Snake
20304,335,53817,272100,-1,-1,Goblin Thug (Green),Snake
20305,336,54149,273267,-1,-1,Goblin Thug (Green),Snake
20306,337,54481,274436,-1,-1,Goblin Thug (Green),Snake
20307,338,54814,275606,-1,-1,Goblin Thug (Green),Snake
20308,339,55149,276777,-1,-1,Goblin Thug (Green),Snake
20309,341,55484,277949,-1,-1,Goblin Thug (Green),Snake
20310,342,55820,279122,-1,-1,Goblin Thug (Green),Snake
20311,343,56157,280296,-1,-1,Goblin Thug (Green),Snake
20312,344,56495,281472,-1,-1,Goblin Thug (Green),Snake
20313,345,56834,282648,-1,-1,Goblin Thug (Green),Snake
20314,346,57174,283826,-1,-1,Goblin Thug (Green),Snake
20315,347,57516,285005,-1,-1,Goblin Thug (Green),Snake
20316,348,57857,286185,-1,-1,Goblin Thug (Green),Snake
20317,349,58200,287366,-1,-1,Goblin Thug (Green),Snake
20318,350,58544,288548,-1,-1,Goblin Thug (Green),Snake
20319,352,58889,289732,-1,-1,Goblin Thug (Green),Snake
20320,353,59235,290916,-1,-1,Goblin Thug (Green),Snake
20321,354,59582,292102,-1,-1,Goblin Thug (Green),Snake
20322,355,59930,293289,-1,-1,Goblin Thug (Green),Snake
20323,356,60278,294477,-1,-1,Goblin Thug (Green),Snake
20324,357,60628,295665,-1,-1,Goblin Thug (Green),Snake
20325,358,60978,296856,-1,-1,Goblin Thug (Green),Snake
20326,359,61330,298047,-1,-1,Ghoul,Bat
20327,360,61683,299239,-1,-1,Ghoul,Bat
20328,361,62036,300432,-1,-1,Ghoul,Bat
20329,363,62390,301627,-1,-1,Ghoul,Bat
20330,364,62746,302822,-1,-1,Ghoul,Bat
20331,365,63102,304019,-1,-1,Ghoul,Bat
20332,366,63460,305217,-1,-1,Ghoul,Bat
20333,367,63818,306415,-1,-1,Ghoul,Bat
20334,368,64177,307615,-1,-1,Ghoul,Bat
20335,369,64537,308816,-1,-1,Ghoul,Bat
20336,370,64898,310018,-1,-1,Ghoul,Bat
20337,371,65260,311221,-1,-1,Ghoul,Bat
20338,372,65623,312426,-1,-1,Ghoul,Bat
20339,374,65987,313631,-1,-1,Ghoul,Bat
20340,375,66352,314837,-1,-1,Ghoul,Bat
20341,376,66718,316045,-1,-1,Ghoul,Bat
20342,377,67085,317253,-1,-1,Ghoul,Bat
20343,378,67453,318463,-1,-1,Ghoul,Bat
20344,379,67822,319673,-1,-1,Ghoul,Bat
20345,380,68191,320885,-1,-1,Ghoul,Bat
20346,381,68562,322098,-1,-1,Ghoul,Bat
20347,382,68934,323312,-1,-1,Ghoul,Bat
20348,383,69306,324526,-1,-1,Ghoul,Bat
20349,385,69680,325742,-1,-1,Ghoul,Bat
20350,386,70054,326959,-1,-1,Ghoul,Bat
20351,387,70430,328177,-1,-1,Ghoul,Fire Sprite
20352,388,70806,329396,-1,-1,Ghoul,Fire Sprite
20353,389,71183,330616,-1,-1,Ghoul,Fire Sprite
20354,390,71562,331837,-1,-1,Ghoul,Fire Sprite
20355,391,71941,333059,-1,-1,Ghoul,Fire Sprite
20356,392,72321,334283,-1,-1,Ghoul,Fire Sprite
20357,393,72702,335507,-1,-1,Ghoul,Fire Sprite
20358,394,73084,336732,-1,-1,Ghoul,Fire Sprite
20359,396,73467,337958,-1,-1,Ghoul,Fire Sprite
20360,397,73851,339186,-1,-1,Ghoul,Fire Sprite
20361,398,74236,340414,-1,-1,Ghoul,Fire Sprite
20362,399,74622,341643,-1,-1,Ghoul,Fire Sprite
20363,400,75009,342874,-1,-1,Ghoul,Fire Sprite
20364,401,75396,344105,-1,-1,Ghoul,Fire Sprite
20365,402,75785,345338,-1,-1,Ghoul,Fire Sprite
20366,403,76175,346571,-1,-1,Ghoul,Fire Sprite
20367,404,76565,347805,-1,-1,Ghoul,Fire Sprite
20368,405,76957,349041,-1,-1,Ghoul,Fire Sprite
20369,407,77349,350277,-1,-1,Ghoul,Fire Sprite
20370,408,77743,351515,-1,-1,Ghoul,Fire Sprite
20371,409,78137,352753,-1,-1,Ghoul,Fire Sprite
20372,410,78532,353993,-1,-1,Ghoul,Fire Sprite
20373,411,78929,355233,-1,-1,Ghoul,Fire Sprite
20374,412,79326,356475,-1,-1,Ghoul,Fire Sprite
20375,413,79724,357717,-1,-1,Ghoul,Fire Sprite
20376,414,80123,358961,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20377,415,80523,360205,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20378,416,80924,361451,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20379,418,81326,362697,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20380,419,81729,363945,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20381,420,82133,365193,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20382,421,82537,366442,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20383,422,82943,367693,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20384,423,83350,368944,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20385,424,83757,370197,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20386,425,84166,371450,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20387,426,84575,372704,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20388,427,84986,373960,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20389,429,85397,375216,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20390,430,85809,376473,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20391,431,86223,377731,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20392,432,86637,378990,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20393,433,87052,380251,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20394,434,87468,381512,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20395,435,87885,382774,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20396,436,88303,384037,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20397,437,88722,385301,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20398,438,89141,386566,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20399,440,89562,387832,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20400,441,164025,389099,-1,-1,Skeleton (RPC) Warrior,Slime (Blue)
20401,442,164836,390366,-1,-1,Slime (Blue),Goblin Thug (Blue)
20402,443,165649,391635,-1,-1,Slime (Blue),Goblin Thug (Blue)
20403,444,166464,392905,-1,-1,Slime (Blue),Goblin Thug (Blue)
20404,445,167281,394176,-1,-1,Slime (Blue),Goblin Thug (Blue)
20405,446,168100,395447,-1,-1,Slime (Blue),Goblin Thug (Blue)
20406,447,168921,396720,-1,-1,Slime (Blue),Goblin Thug (Blue)
20407,448,169744,397993,-1,-1,Slime (Blue),Goblin Thug (Blue)
20408,449,170569,399268,-1,-1,Slime (Blue),Goblin Thug (Blue)
20409,451,171396,400543,-1,-1,Slime (Blue),Goblin Thug (Blue)
20410,452,172225,401820,-1,-1,Slime (Blue),Goblin Thug (Blue)
20411,453,173056,403097,-1,-1,Slime (Blue),Goblin Thug (Blue)
20412,454,173889,404375,-1,-1,Slime (Blue),Goblin Thug (Blue)
20413,455,174724,405654,-1,-1,Slime (Blue),Goblin Thug (Blue)
20414,456,175561,406934,-1,-1,Slime (Blue),Goblin Thug (Blue)
20415,457,176400,408215,-1,-1,Slime (Blue),Goblin Thug (Blue)
20416,458,177241,409497,-1,-1,Slime (Blue),Goblin Thug (Blue)
20417,459,178084,410780,-1,-1,Slime (Blue),Goblin Thug (Blue)
