Monsterid,Damage,Health,GoldValue,DiaValue,Reward1,Reward1Value,Asset
30127,205,201394,318020,-1,-1,-1,Spider1
30128,207,202292,323080,-1,-1,-1,Spider1
30129,208,606841,328180,-1,-1,-1,Spider1
30130,210,608400,333320,13500,-1,-1,Spider1
30131,211,609961,338500,-1,-1,-1,Spider1
30132,213,611524,343720,-1,-1,-1,Spider1
30133,214,613089,348980,-1,-1,-1,Spider1
30134,216,614656,354280,-1,-1,-1,Spider1
30135,217,616225,359620,14000,-1,-1,Spider1
30136,219,1597782,365000,-1,-1,-1,Spider1
30137,220,1600311,370420,-1,-1,-1,Spider1
30138,222,1602842,375880,-1,-1,-1,Spider1
30139,223,1605375,381380,-1,-1,-1,Spider1
30140,225,1607910,386920,14500,-1,-1,Spider1
30141,226,1610447,392500,-1,-1,-1,Spider1
30142,228,1612986,398120,-1,-1,-1,Spider1
30143,229,3673481,403780,-1,-1,-1,Spider1
30144,231,3677315,409480,-1,-1,-1,Spider1
30145,232,3681151,415220,15000,-1,-1,Spider1
30146,234,3684989,421000,-1,-1,-1,Spider1
30147,235,3688830,426820,-1,-1,-1,Spider1
30148,237,3692672,432680,-1,-1,-1,Spider1
30149,238,3696516,438580,-1,-1,-1,Spider1
30150,240,7578108,444520,15500,-1,-1,Spider1
30151,241,7583614,450500,-1,-1,-1,Skeleton1
30152,243,7589123,456520,-1,-1,-1,Skeleton1
30153,244,7594634,462580,-1,-1,-1,Skeleton1
30154,246,7600146,468680,-1,-1,-1,Skeleton1
30155,247,7605661,474820,16000,-1,-1,Skeleton1
30156,249,7611178,481000,-1,-1,-1,Skeleton1
30157,250,14344298,487220,-1,-1,-1,Skeleton1
30158,252,14351874,493480,-1,-1,-1,Skeleton1
30159,253,14359452,499780,-1,-1,-1,Skeleton1
30160,255,14367031,506120,16500,-1,-1,Skeleton1
30161,256,14374613,512500,-1,-1,-1,Skeleton1
30162,258,14382197,518920,-1,-1,-1,Skeleton1
30163,259,14389783,525380,-1,-1,-1,Skeleton1
30164,261,25341156,531880,-1,-1,-1,Skeleton1
30165,262,25351225,538420,17000,-1,-1,Skeleton1
30166,264,25361296,545000,-1,-1,-1,Skeleton1
30167,265,25371369,551620,-1,-1,-1,Skeleton1
30168,267,25381444,558280,-1,-1,-1,Skeleton1
30169,268,25391521,564980,-1,-1,-1,Skeleton1
30170,270,25401600,571720,17500,-1,-1,Skeleton1
30171,271,42322250,578500,-1,-1,-1,Skeleton1
30172,273,42335262,585320,-1,-1,-1,Skeleton1
30173,274,42348276,592180,-1,-1,-1,Skeleton1
30174,276,42361292,599080,-1,-1,-1,Skeleton1
30175,277,42374310,606020,18000,-1,-1,Skeleton1
30176,279,42387331,613000,-1,-1,-1,Skeleton2
30177,280,42400353,620020,-1,-1,-1,Skeleton2
30178,282,67473607,627080,-1,-1,-1,Skeleton2
30179,283,67490037,634180,-1,-1,-1,Skeleton2
30180,285,67506468,641320,18500,-1,-1,Skeleton2
30181,286,67522902,648500,-1,-1,-1,Skeleton2
30182,288,67539337,655720,-1,-1,-1,Skeleton2
30183,289,67555775,662980,-1,-1,-1,Skeleton2
30184,291,67572214,670280,-1,-1,-1,Skeleton2
30185,292,103461704,677620,19000,-1,-1,Skeleton2
30186,294,103482048,685000,-1,-1,-1,Skeleton2
30187,295,103502394,692420,-1,-1,-1,Skeleton2
30188,297,103522743,699880,-1,-1,-1,Skeleton2
30189,298,103543093,707380,-1,-1,-1,Skeleton2
30190,300,103563445,714920,19500,-1,-1,Skeleton2
30191,301,103583799,722500,-1,-1,-1,Skeleton2
30192,303,153481456,730120,-1,-1,-1,Skeleton2
30193,304,153506235,737780,-1,-1,-1,Skeleton2
30194,306,153531015,745480,-1,-1,-1,Skeleton2
30195,307,153555798,753220,20000,-1,-1,Skeleton2
30196,309,153580582,761000,-1,-1,-1,Skeleton2
30197,310,153605369,768820,-1,-1,-1,Skeleton2
30198,312,153630158,776680,-1,-1,-1,Skeleton2
30199,313,221304211,784580,-1,-1,-1,Skeleton2
30200,315,221333965,792520,20500,-1,-1,Skeleton2
30201,316,221363720,800500,-1,-1,-1,SkeletonWithShield
30202,318,221393478,808520,-1,-1,-1,SkeletonWithShield
30203,319,221423238,816580,-1,-1,-1,SkeletonWithShield
30204,321,221452999,824680,-1,-1,-1,SkeletonWithShield
30205,322,221482763,832820,21000,-1,-1,SkeletonWithShield
30206,324,311325736,841000,-1,-1,-1,SkeletonWithShield
30207,325,311361025,849220,-1,-1,-1,SkeletonWithShield
30208,327,311396317,857480,-1,-1,-1,SkeletonWithShield
30209,328,311431611,865780,-1,-1,-1,SkeletonWithShield
30210,330,311466907,874120,21500,-1,-1,SkeletonWithShield
30211,331,311502205,882500,-1,-1,-1,SkeletonWithShield
30212,333,311537505,890920,-1,-1,-1,SkeletonWithShield
30213,334,428614209,899380,-1,-1,-1,SkeletonWithShield
30214,336,428655616,907880,-1,-1,-1,SkeletonWithShield
30215,337,428697025,916420,22000,-1,-1,SkeletonWithShield
30216,339,428738436,925000,-1,-1,-1,SkeletonWithShield
30217,340,428779849,933620,-1,-1,-1,SkeletonWithShield
30218,342,428821264,942280,-1,-1,-1,SkeletonWithShield
30219,343,428862681,950980,-1,-1,-1,SkeletonWithShield
30220,345,578958213,959720,22500,-1,-1,SkeletonWithShield
30221,346,579006337,968500,-1,-1,-1,SkeletonWithShield
30222,348,579054463,977320,-1,-1,-1,SkeletonWithShield
30223,349,579102592,986180,-1,-1,-1,SkeletonWithShield
30224,351,579150722,995080,-1,-1,-1,SkeletonWithShield
30225,352,579198854,1004020,23000,-1,-1,SkeletonWithShield
30226,354,579246988,1013000,-1,-1,-1,MageSkeleton-RustyShield
30227,355,768914725,1022020,-1,-1,-1,MageSkeleton-RustyShield
30228,357,768970184,1031080,-1,-1,-1,MageSkeleton-RustyShield
30229,358,769025646,1040180,-1,-1,-1,MageSkeleton-RustyShield
30230,360,769081110,1049320,23500,-1,-1,MageSkeleton-RustyShield
30231,361,769136575,1058500,-1,-1,-1,MageSkeleton-RustyShield
30232,363,769192043,1067720,-1,-1,-1,MageSkeleton-RustyShield
30233,364,769247512,1076980,-1,-1,-1,MageSkeleton-RustyShield
30234,366,1005857106,1086280,-1,-1,-1,MageSkeleton-RustyShield
30235,367,1005920538,1095620,24000,-1,-1,MageSkeleton-RustyShield
30236,369,1005983971,1105000,-1,-1,-1,MageSkeleton-RustyShield
30237,370,1006047407,1114420,-1,-1,-1,MageSkeleton-RustyShield
30238,372,1006110844,1123880,-1,-1,-1,MageSkeleton-RustyShield
30239,373,1006174284,1133380,-1,-1,-1,MageSkeleton-RustyShield
30240,375,1006237725,1142920,24500,-1,-1,MageSkeleton-RustyShield
30241,376,1298023099,1152500,-1,-1,-1,MageSkeleton-RustyShield
30242,378,1298095156,1162120,-1,-1,-1,MageSkeleton-RustyShield
30243,379,1298167215,1171780,-1,-1,-1,MageSkeleton-RustyShield
30244,381,1298239277,1181480,-1,-1,-1,MageSkeleton-RustyShield
30245,382,1298311340,1191220,25000,-1,-1,MageSkeleton-RustyShield
30246,384,1298383405,1201000,-1,-1,-1,MageSkeleton-RustyShield
30247,385,1298455472,1210820,-1,-1,-1,MageSkeleton-RustyShield
30248,387,1654562816,1220680,-1,-1,-1,MageSkeleton-RustyShield
30249,388,1654644170,1230580,-1,-1,-1,MageSkeleton-RustyShield
30250,390,1654725525,1240520,25500,-1,-1,MageSkeleton-RustyShield
30251,391,1654806883,1250500,-1,-1,-1,Assassin
30252,393,1654888242,1260520,-1,-1,-1,Assassin
30253,394,1654969604,1270580,-1,-1,-1,Assassin
30254,396,1655050968,1280680,-1,-1,-1,Assassin
30255,397,2085586734,1290820,26000,-1,-1,Assassin
30256,399,2085678071,1301000,-1,-1,-1,Assassin
30257,400,2085769411,1311220,-1,-1,-1,Assassin
30258,402,2085860752,1321480,-1,-1,-1,Assassin
30259,403,2085952096,1331780,-1,-1,-1,Assassin
30260,405,2086043441,1342120,26500,-1,-1,Assassin
30261,406,2086134789,1352500,-1,-1,-1,Assassin
30262,408,2602213688,1362920,-1,-1,-1,Assassin
30263,409,2602315713,1373380,-1,-1,-1,Assassin
30264,411,2602417740,1383880,-1,-1,-1,Assassin
30265,412,2602519769,1394420,27000,-1,-1,Assassin
30266,414,2602621799,1405000,-1,-1,-1,Assassin
30267,415,2602723832,1415620,-1,-1,-1,Assassin
30268,417,2602825867,1426280,-1,-1,-1,Assassin
30269,418,3216618865,1436980,-1,-1,-1,Assassin
30270,420,3216732296,1447720,27500,-1,-1,Assassin
30271,421,3216845730,1458500,-1,-1,-1,Assassin
30272,423,3216959165,1469320,-1,-1,-1,Assassin
30273,424,3217072603,1480180,-1,-1,-1,Assassin
30274,426,3217186042,1491080,-1,-1,-1,Assassin
30275,427,3217299484,1502020,28000,-1,-1,Assassin
30276,429,3942081796,1513000,-1,-1,-1,BigWorm1
30277,430,3942207369,1524020,-1,-1,-1,BigWorm1
30278,432,3942332944,1535080,-1,-1,-1,BigWorm1
30279,433,3942458521,1546180,-1,-1,-1,BigWorm1
30280,435,3942584100,1557320,28500,-1,-1,BigWorm1
30281,436,3942709681,1568500,-1,-1,-1,BigWorm1
30282,438,3942835264,1579720,-1,-1,-1,BigWorm1
30283,439,4793034353,1590980,-1,-1,-1,BigWorm1
30284,441,4793172817,1602280,-1,-1,-1,BigWorm1
30285,442,4793311284,1613620,29000,-1,-1,BigWorm1
30286,444,4793449752,1625000,-1,-1,-1,BigWorm1
30287,445,4793588223,1636420,-1,-1,-1,BigWorm1
30288,447,4793726695,1647880,-1,-1,-1,BigWorm1
30289,448,4793865170,1659380,-1,-1,-1,BigWorm1
30290,450,5785108741,1670920,29500,-1,-1,BigWorm1
30291,451,5785260862,1682500,-1,-1,-1,BigWorm1
30292,453,5785412985,1694120,-1,-1,-1,BigWorm1
30293,454,5785565110,1705780,-1,-1,-1,BigWorm1
30294,456,5785717237,1717480,-1,-1,-1,BigWorm1
30295,457,5785869365,1729220,30000,-1,-1,BigWorm1
30296,459,5786021496,1741000,-1,-1,-1,BigWorm1
30297,460,6935185496,1752820,-1,-1,-1,BigWorm1
30298,462,6935352053,1764680,-1,-1,-1,BigWorm1
30299,463,6935518611,1776580,-1,-1,-1,BigWorm1
30300,465,6935685172,1788520,30500,-1,-1,BigWorm1
30301,466,6935851734,1800500,-1,-1,-1,Spider2
30302,468,6936018299,1812520,-1,-1,-1,Spider2
30303,469,6936184865,1824580,-1,-1,-1,Spider2
30304,471,8261441476,1836680,-1,-1,-1,Spider2
30305,472,8261623262,1848820,31000,-1,-1,Spider2
30306,474,8261805050,1861000,-1,-1,-1,Spider2
30307,475,8261986840,1873220,-1,-1,-1,Spider2
30308,477,8262168632,1885480,-1,-1,-1,Spider2
30309,478,8262350426,1897780,-1,-1,-1,Spider2
30310,480,8262532222,1910120,31500,-1,-1,Spider2
30311,481,9783397860,1922500,-1,-1,-1,Spider2
30312,483,9783595683,1934920,-1,-1,-1,Spider2
30313,484,9783793508,1947380,-1,-1,-1,Spider2
30314,486,9783991335,1959880,-1,-1,-1,Spider2
30315,487,9784189164,1972420,32000,-1,-1,Spider2
30316,489,9784386995,1985000,-1,-1,-1,Spider2
30317,490,9784584828,1997620,-1,-1,-1,Spider2
30318,492,11521968139,2010280,-1,-1,-1,Spider2
30319,493,11522182821,2022980,-1,-1,-1,Spider2
30320,495,11522397504,2035720,32500,-1,-1,Spider2
30321,496,11522612190,2048500,-1,-1,-1,Spider2
30322,498,11522826878,2061320,-1,-1,-1,Spider2
30323,499,11523041568,2074180,-1,-1,-1,Spider2
30324,501,11523256260,2087080,-1,-1,-1,Spider2
30325,502,13499506116,2100020,33000,-1,-1,Spider2
30326,504,13499738492,2113000,-1,-1,-1,Skeleton2
30327,505,13499970870,2126020,-1,-1,-1,Skeleton2
30328,507,13500203250,2139080,-1,-1,-1,Skeleton2
30329,508,13500435631,2152180,-1,-1,-1,Skeleton2
30330,510,13500668015,2165320,33500,-1,-1,Skeleton2
30331,511,13500900401,2178500,-1,-1,-1,Skeleton2
30332,513,15739853901,2191720,-1,-1,-1,Skeleton2
30333,514,15740104819,2204980,-1,-1,-1,Skeleton2
30334,516,15740355739,2218280,-1,-1,-1,Skeleton2
30335,517,15740606661,2231620,34000,-1,-1,Skeleton2
30336,519,15740857586,2245000,-1,-1,-1,Skeleton2
30337,520,15741108512,2258420,-1,-1,-1,Skeleton2
30338,522,15741359440,2271880,-1,-1,-1,Skeleton2
30339,523,18268389903,2285380,-1,-1,-1,Skeleton2
30340,525,18268660225,2298920,34500,-1,-1,Skeleton2
30341,526,18268930550,2312500,-1,-1,-1,Skeleton2
30342,528,18269200876,2326120,-1,-1,-1,Skeleton2
30343,529,18269471204,2339780,-1,-1,-1,Skeleton2
30344,531,18269741534,2353480,-1,-1,-1,Skeleton2
30345,532,18270011867,2367220,35000,-1,-1,Skeleton2
30346,534,21112076832,2381000,-1,-1,-1,Skeleton2
30347,535,21112367433,2394820,-1,-1,-1,Skeleton2
30348,537,21112658036,2408680,-1,-1,-1,Skeleton2
30349,538,21112948640,2422580,-1,-1,-1,Skeleton2
30350,540,21113239247,2436520,35500,-1,-1,Skeleton2
30351,541,21113529856,2450500,-1,-1,-1,Spider1
30352,543,21113820467,2464520,-1,-1,-1,Spider1
30353,544,24299509689,2478580,-1,-1,-1,Spider1
30354,546,24299821456,2492680,-1,-1,-1,Spider1
30355,547,24300133225,2506820,36000,-1,-1,Spider1
30356,549,24300444996,2521000,-1,-1,-1,Spider1
30357,550,24300756769,2535220,-1,-1,-1,Spider1
30358,552,24301068544,2549480,-1,-1,-1,Spider1
30359,553,24301380321,2563780,-1,-1,-1,Spider1
30360,555,27860963768,2578120,36500,-1,-1,Spider1
30361,556,27861297601,2592500,-1,-1,-1,Spider1
30362,558,27861631436,2606920,-1,-1,-1,Spider1
30363,559,27861965273,2621380,-1,-1,-1,Spider1
30364,561,27862299112,2635880,-1,-1,-1,Spider1
30365,562,27862632954,2650420,37000,-1,-1,Spider1
30366,564,27862966797,2665000,-1,-1,-1,Spider1
30367,565,31828442649,2679620,-1,-1,-1,Spider1
30368,567,31828799461,2694280,-1,-1,-1,Spider1
30369,568,31829156275,2708980,-1,-1,-1,Spider1
30370,570,31829513090,2723720,37500,-1,-1,Spider1
30371,571,31829869908,2738500,-1,-1,-1,Spider1
30372,573,31830226727,2753320,-1,-1,-1,Spider1
30373,574,31830583549,2768180,-1,-1,-1,Spider1
30374,576,36235726196,2783080,-1,-1,-1,Spider1
30375,577,36236106911,2798020,38000,-1,-1,Spider1
30376,579,36236487628,2813000,-1,-1,-1,Skeleton1
30377,580,36236868346,2828020,-1,-1,-1,Skeleton1
30378,582,36237249067,2843080,-1,-1,-1,Skeleton1
30379,583,36237629790,2858180,-1,-1,-1,Skeleton1
30380,585,36238010515,2873320,38500,-1,-1,Skeleton1
30381,586,41118418553,2888500,-1,-1,-1,Skeleton1
30382,588,41118824108,2903720,-1,-1,-1,Skeleton1
30383,589,41119229664,2918980,-1,-1,-1,Skeleton1
30384,591,41119635223,2934280,-1,-1,-1,Skeleton1
30385,592,41120040783,2949620,39000,-1,-1,Skeleton1
30386,594,41120446346,2965000,-1,-1,-1,Skeleton1
30387,595,41120851911,2980420,-1,-1,-1,Skeleton1
30388,597,46513996141,2995880,-1,-1,-1,Skeleton1
30389,598,46514427484,3011380,-1,-1,-1,Skeleton1
30390,600,46514858829,3026920,39500,-1,-1,Skeleton1
30391,601,46515290177,3042500,-1,-1,-1,Skeleton1
30392,603,46515721526,3058120,-1,-1,-1,Skeleton1
30393,604,46516152877,3073780,-1,-1,-1,Skeleton1
30394,606,46516584230,3089480,-1,-1,-1,Skeleton1
30395,607,52461855656,3105220,40000,-1,-1,Skeleton1
30396,609,52462313748,3121000,-1,-1,-1,Skeleton1
30397,610,52462771842,3136820,-1,-1,-1,Skeleton1
30398,612,52463229938,3152680,-1,-1,-1,Skeleton1
30399,613,52463688036,3168580,-1,-1,-1,Skeleton1
30400,615,52464146136,3184520,40500,-1,-1,Skeleton1
30401,616,52464604238,3200500,-1,-1,-1,Assassin
30402,618,59003362063,3216520,-1,-1,-1,Assassin
30403,619,59003847876,3232580,-1,-1,-1,Assassin
30404,621,59004333691,3248680,-1,-1,-1,Assassin
30405,622,59004819509,3264820,41000,-1,-1,Assassin
30406,624,59005305328,3281000,-1,-1,-1,Assassin
30407,625,59005791149,3297220,-1,-1,-1,Assassin
30408,627,59006276972,3313480,-1,-1,-1,Assassin
30409,628,66181896598,3329780,-1,-1,-1,Assassin
30410,630,66182411116,3346120,41500,-1,-1,Assassin
30411,631,66182925636,3362500,-1,-1,-1,Assassin
30412,633,66183440158,3378920,-1,-1,-1,Assassin
30413,634,66183954682,3395380,-1,-1,-1,Assassin
30414,636,66184469207,3411880,-1,-1,-1,Assassin
30415,637,66184983735,3428420,42000,-1,-1,Assassin
30416,639,74042904761,3445000,-1,-1,-1,Assassin
30417,640,74043448978,3461620,-1,-1,-1,Assassin
30418,642,74043993198,3478280,-1,-1,-1,Assassin
30419,643,74044537419,3494980,-1,-1,-1,Assassin
30420,645,74045081643,3511720,42500,-1,-1,Assassin
30421,646,74045625868,3528500,-1,-1,-1,Assassin
30422,648,74046170096,3545320,-1,-1,-1,Assassin
30423,649,82633944314,3562180,-1,-1,-1,Assassin
30424,651,82634519238,3579080,-1,-1,-1,Assassin
30425,652,82635094163,3596020,43000,-1,-1,Assassin
30426,654,82635669091,3613000,-1,-1,-1,Skeleton
30427,655,82636244020,3630020,-1,-1,-1,Skeleton
30428,657,82636818951,3647080,-1,-1,-1,Skeleton
30429,658,82637393885,3664180,-1,-1,-1,Skeleton
30430,660,92004733282,3681320,43500,-1,-1,Skeleton
30431,661,92005339928,3698500,-1,-1,-1,Skeleton
30432,663,92005946577,3715720,-1,-1,-1,Skeleton
30433,664,92006553228,3732980,-1,-1,-1,Skeleton
30434,666,92007159880,3750280,-1,-1,-1,Skeleton
30435,667,92007766535,3767620,44000,-1,-1,Skeleton
30436,669,92008373192,3785000,-1,-1,-1,Skeleton
30437,670,102207197944,3802420,-1,-1,-1,Skeleton
30438,672,102207837342,3819880,-1,-1,-1,Skeleton
30439,673,102208476742,3837380,-1,-1,-1,Skeleton
30440,675,102209116144,3854920,44500,-1,-1,Skeleton
30441,676,102209755549,3872500,-1,-1,-1,Skeleton
30442,678,102210394955,3890120,-1,-1,-1,Skeleton
30443,679,102211034363,3907780,-1,-1,-1,Skeleton
30444,681,113295520836,3925480,-1,-1,-1,Skeleton
30445,682,113296194025,3943220,45000,-1,-1,Skeleton
30446,684,113296867216,3961000,-1,-1,-1,Skeleton
30447,685,113297540409,3978820,-1,-1,-1,Skeleton
30448,687,113298213604,3996680,-1,-1,-1,Skeleton
30449,688,113298886801,4014580,-1,-1,-1,Skeleton
30450,690,113299560000,4032520,45500,-1,-1,Skeleton
30451,691,125326188747,4050500,-1,-1,-1,Skeleton2
30452,693,125326896777,4068520,-1,-1,-1,Skeleton2
30453,694,125327604809,4086580,-1,-1,-1,Skeleton2
30454,696,125328312842,4104680,-1,-1,-1,Skeleton2
30455,697,125329020878,4122820,46000,-1,-1,Skeleton2
30456,699,125329728916,4141000,-1,-1,-1,Skeleton2
30457,700,125330436956,4159220,-1,-1,-1,Skeleton2
30458,702,138358040716,4177480,-1,-1,-1,Skeleton2
30459,703,138358784647,4195780,-1,-1,-1,Skeleton2
30460,705,138359528580,4214120,46500,-1,-1,Skeleton2
30461,706,138360272516,4232500,-1,-1,-1,Skeleton2
30462,708,138361016453,4250920,-1,-1,-1,Skeleton2
30463,709,138361760392,4269380,-1,-1,-1,Skeleton2
30464,711,138362504333,4287880,-1,-1,-1,Skeleton2
30465,712,152452316030,4306420,47000,-1,-1,Skeleton2
30466,714,152453096934,4325000,-1,-1,-1,Skeleton2
30467,715,152453877839,4343620,-1,-1,-1,Skeleton2
30468,717,152454658747,4362280,-1,-1,-1,Skeleton2
30469,718,152455439657,4380980,-1,-1,-1,Skeleton2
30470,720,152456220569,4399720,47500,-1,-1,Skeleton2
30471,721,152457001483,4418500,-1,-1,-1,Skeleton2
30472,723,167672702221,4437320,-1,-1,-1,Skeleton2
30473,724,167673521179,4456180,-1,-1,-1,Skeleton2
30474,726,167674340139,4475080,-1,-1,-1,Skeleton2
30475,727,167675159101,4494020,48000,-1,-1,Skeleton2
30476,729,167675978066,4513000,-1,-1,-1,MageSkeletonWithShield
30477,730,167676797032,4532020,-1,-1,-1,MageSkeletonWithShield
30478,732,167677616000,4551080,-1,-1,-1,MageSkeletonWithShield
30479,733,184085383066,4570180,-1,-1,-1,MageSkeletonWithShield
30480,735,184086241171,4589320,48500,-1,-1,MageSkeletonWithShield
30481,736,184087099277,4608500,-1,-1,-1,MageSkeletonWithShield
30482,738,184087957386,4627720,-1,-1,-1,MageSkeletonWithShield
30483,739,184088815496,4646980,-1,-1,-1,MageSkeletonWithShield
30484,741,184089673609,4666280,-1,-1,-1,MageSkeletonWithShield
30485,742,184090531723,4685620,49000,-1,-1,MageSkeletonWithShield
30486,744,201759086584,4705000,-1,-1,-1,MageSkeletonWithShield
